MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,005000;0,700000;80;TRUE;60;1,000000;60,000000;898,900000
0,050000;0,700000;200;TRUE;60;1,000000;60,000000;1267,700000
0,005000;0,700000;80;TRUE;130;1,000000;130,000000;1787,200000
0,005000;0,700000;80;TRUE;140;1,000000;140,000000;1902,000000
0,005000;0,700000;200;TRUE;60;1,000000;60,000000;1288,600000
0,050000;0,700000;80;TRUE;60;1,000000;60,000000;1013,200000
0,005000;0,700000;80;TRUE;160;1,000000;160,000000;2093,100000
0,001000;0,700000;80;TRUE;110;1,000000;110,000000;3301,400000
0,005000;0,700000;80;TRUE;170;1,000000;170,000000;2409,100000
0,050000;0,700000;200;TRUE;70;1,000000;70,000000;2008,700000
0,005000;0,700000;80;TRUE;180;1,000000;180,000000;2510,100000
0,005000;0,700000;200;TRUE;90;1,000000;90,000000;1907,400000
0,005000;0,700000;200;TRUE;100;1,000000;100,000000;2079,700000
0,001000;0,700000;80;TRUE;160;1,000000;160,000000;4470,200000
0,001000;0,700000;200;TRUE;60;1,000000;60,000000;2691,200000
0,001000;0,700000;80;TRUE;180;1,000000;180,000000;4586,600000
0,001000;0,700000;200;TRUE;70;1,000000;70,000000;3205,100000
0,001000;0,700000;80;TRUE;60;1,000000;60,000000;1942,500000
0,005000;0,700000;80;TRUE;70;1,000000;70,000000;1057,100000
0,001000;0,700000;80;TRUE;170;1,000000;170,000000;4273,100000
0,001000;0,700000;80;TRUE;70;1,000000;70,000000;2544,100000
0,050000;0,700000;80;TRUE;100;1,000000;100,000000;5532,800000
0,001000;0,700000;200;TRUE;100;1,000000;100,000000;4214,500000
0,050000;0,700000;80;TRUE;80;1,000000;80,000000;2349,900000
0,001000;0,700000;200;TRUE;80;1,000000;80,000000;3564,800000
0,005000;0,700000;80;TRUE;100;1,000000;100,000000;1528,100000
0,001000;0,700000;200;TRUE;110;1,000000;110,000000;4148,500000
0,001000;0,700000;80;TRUE;90;1,000000;90,000000;2621,600000
0,001000;0,700000;80;TRUE;100;1,000000;100,000000;2507,400000
0,001000;0,700000;80;TRUE;80;1,000000;80,000000;2553,200000
0,005000;0,700000;200;TRUE;80;1,000000;80,000000;1729,200000
0,005000;0,700000;80;TRUE;80;1,000000;80,000000;1142,800000
0,050000;0,700000;80;TRUE;70;1,000000;70,000000;1525,200000
0,050000;0,700000;200;TRUE;90;1,000000;90,000000;4177,100000
0,005000;0,700000;200;TRUE;170;1,000000;170,000000;3651,200000
0,005000;0,700000;80;TRUE;90;1,000000;90,000000;1323,300000
0,005000;0,700000;200;TRUE;180;1,000000;180,000000;3773,200000
0,001000;0,700000;200;TRUE;130;1,000000;130,000000;4715,700000
0,005000;0,700000;200;TRUE;70;1,000000;70,000000;1616,400000
0,050000;0,700000;80;TRUE;90;1,000000;90,000000;2932,300000
0,050000;0,700000;200;TRUE;80;1,000000;80,000000;2497,900000
0,001000;0,700000;200;TRUE;150;1,000000;150,000000;5230,200000
0,050000;0,700000;200;TRUE;100;1,000000;100,000000;6016,800000
0,005000;0,700000;200;TRUE;160;1,000000;160,000000;3408,100000
0,005000;0,700000;200;TRUE;110;1,000000;110,000000;2490,700000
0,005000;0,700000;80;TRUE;110;1,000000;110,000000;1524,600000
0,005000;0,700000;200;TRUE;130;1,000000;130,000000;2880,000000
0,001000;0,700000;80;TRUE;140;1,000000;140,000000;3326,900000
0,001000;0,700000;200;TRUE;160;1,000000;160,000000;5690,000000
0,001000;0,700000;200;TRUE;90;1,000000;90,000000;3812,800000
0,050000;0,700000;200;TRUE;110;1,000000;110,000000;8925,500000
0,005000;0,700000;200;TRUE;140;1,000000;140,000000;3101,000000
0,001000;0,700000;80;TRUE;130;1,000000;130,000000;3916,800000
0,005000;0,700000;200;TRUE;120;1,000000;120,000000;2497,800000
0,001000;0,700000;80;TRUE;150;1,000000;150,000000;3723,200000
0,005000;0,700000;200;TRUE;150;1,000000;150,000000;3369,100000
0,050000;0,700000;80;TRUE;110;1,000000;110,000000;10771,700000
0,001000;0,700000;200;TRUE;140;1,000000;140,000000;5157,100000
0,005000;0,700000;80;TRUE;120;1,000000;120,000000;1594,800000
0,001000;0,700000;80;TRUE;120;1,000000;120,000000;3240,400000
0,005000;0,700000;80;TRUE;150;1,000000;150,000000;1872,900000
0,001000;0,700000;200;TRUE;120;1,000000;120,000000;4587,200000
0,001000;0,700000;200;TRUE;180;1,000000;180,000000;6603,600000
0,050000;0,700000;80;TRUE;130;1,000000;130,000000;24761,000000
0,001000;0,700000;200;TRUE;170;1,000000;170,000000;6232,900000
0,050000;0,700000;80;TRUE;120;1,000000;120,000000;14381,400000
0,050000;0,700000;200;TRUE;120;1,000000;120,000000;15214,300000
0,050000;0,700000;80;TRUE;140;1,000000;140,000000;37715,800000
0,050000;0,700000;80;TRUE;150;1,000000;150,000000;48947,100000
0,050000;0,700000;200;TRUE;130;1,000000;130,000000;23393,200000
0,050000;0,700000;80;TRUE;160;1,000000;160,000000;95583,900000
0,050000;0,700000;200;TRUE;150;1,000000;150,000000;45945,600000
0,050000;0,700000;200;TRUE;140;1,000000;140,000000;42057,800000
0,050000;0,700000;80;TRUE;170;1,000000;170,000000;162530,800000
0,050000;0,700000;200;TRUE;160;1,000000;160,000000;78997,400000
0,050000;0,700000;80;TRUE;180;1,000000;180,000000;234481,900000
0,050000;0,700000;200;TRUE;170;1,000000;170,000000;135509,000000
0,050000;0,700000;200;TRUE;180;1,000000;180,000000;215466,700000
