MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,010000;0,750000;40;TRUE;200;1,000000;200,000000;2353,600000
0,010000;0,700000;40;TRUE;210;1,000000;210,000000;2764,900000
0,010000;0,750000;40;TRUE;220;1,000000;220,000000;3056,400000
0,010000;0,700000;40;TRUE;230;1,000000;230,000000;3364,600000
0,010000;0,750000;80;TRUE;210;1,000000;210,000000;3477,400000
0,020000;0,750000;40;TRUE;200;1,000000;200,000000;7741,900000
0,010000;0,700000;80;TRUE;200;1,000000;200,000000;3241,400000
0,010000;0,700000;80;TRUE;240;1,000000;240,000000;4465,000000
0,020000;0,700000;40;TRUE;210;1,000000;210,000000;9261,400000
0,010000;0,750000;80;TRUE;220;1,000000;220,000000;3457,200000
0,020000;0,750000;40;TRUE;220;1,000000;220,000000;10411,200000
0,010000;0,750000;80;TRUE;250;1,000000;250,000000;4893,600000
0,010000;0,700000;80;TRUE;230;1,000000;230,000000;4258,300000
0,020000;0,700000;40;TRUE;230;1,000000;230,000000;12407,200000
0,010000;0,700000;40;TRUE;240;1,000000;240,000000;3800,400000
0,020000;0,700000;40;TRUE;200;1,000000;200,000000;8234,600000
0,010000;0,700000;80;TRUE;220;1,000000;220,000000;3974,300000
0,030000;0,700000;40;TRUE;190;1,000000;190,000000;17580,100000
0,010000;0,750000;80;TRUE;240;1,000000;240,000000;4683,300000
0,010000;0,750000;80;TRUE;200;1,000000;200,000000;3389,100000
0,020000;0,750000;80;TRUE;200;1,000000;200,000000;9238,400000
0,020000;0,700000;80;TRUE;210;1,000000;210,000000;10158,700000
0,010000;0,750000;40;TRUE;240;1,000000;240,000000;3860,000000
0,020000;0,750000;40;TRUE;250;1,000000;250,000000;20980,700000
0,020000;0,750000;40;TRUE;230;1,000000;230,000000;12285,800000
0,020000;0,750000;80;TRUE;220;1,000000;220,000000;11787,500000
0,030000;0,700000;40;TRUE;210;1,000000;210,000000;35529,400000
0,010000;0,750000;80;TRUE;230;1,000000;230,000000;4133,000000
0,020000;0,750000;80;TRUE;230;1,000000;230,000000;13539,900000
0,020000;0,700000;80;TRUE;230;1,000000;230,000000;12938,400000
0,020000;0,700000;40;TRUE;250;1,000000;250,000000;21535,600000
0,010000;0,750000;40;TRUE;230;1,000000;230,000000;3164,100000
0,020000;0,700000;80;TRUE;200;1,000000;200,000000;8389,500000
0,010000;0,750000;40;TRUE;250;1,000000;250,000000;4356,000000
0,030000;0,700000;80;TRUE;200;1,000000;200,000000;27030,400000
0,030000;0,700000;80;TRUE;190;1,000000;190,000000;20696,300000
0,020000;0,700000;80;TRUE;220;1,000000;220,000000;13602,600000
0,020000;0,750000;80;TRUE;210;1,000000;210,000000;9780,000000
0,020000;0,750000;80;TRUE;190;1,000000;190,000000;5916,000000
0,030000;0,750000;40;TRUE;230;1,000000;230,000000;61395,400000
0,020000;0,750000;40;TRUE;210;1,000000;210,000000;9292,300000
0,020000;0,700000;40;TRUE;220;1,000000;220,000000;13046,900000
0,020000;0,700000;80;TRUE;250;1,000000;250,000000;23389,400000
0,010000;0,700000;40;TRUE;200;1,000000;200,000000;2490,100000
0,020000;0,700000;40;TRUE;190;1,000000;190,000000;6050,700000
0,030000;0,700000;40;TRUE;200;1,000000;200,000000;27502,400000
