MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,005000;0,700000;10;TRUE;100;1,000000;100,000000;630,266667
0,005000;0,700000;10;TRUE;120;1,000000;120,000000;846,966667
0,005000;0,700000;10;TRUE;140;1,000000;140,000000;888,000000
0,005000;0,700000;20;TRUE;100;1,000000;100,000000;846,833333
0,005000;0,700000;10;TRUE;160;1,000000;160,000000;1080,400000
0,005000;0,700000;10;TRUE;180;1,000000;180,000000;1254,466667
0,005000;0,700000;20;TRUE;120;1,000000;120,000000;996,433333
0,005000;0,700000;20;TRUE;140;1,000000;140,000000;1079,066667
0,005000;0,700000;10;TRUE;200;1,000000;200,000000;1537,766667
0,005000;0,700000;10;TRUE;220;1,000000;220,000000;1545,833333
0,005000;0,700000;20;TRUE;160;1,000000;160,000000;1278,233333
0,005000;0,700000;10;TRUE;240;1,000000;240,000000;1843,533333
0,005000;0,700000;20;TRUE;180;1,000000;180,000000;1514,466667
0,005000;0,700000;10;TRUE;260;1,000000;260,000000;2054,100000
0,005000;0,700000;20;TRUE;200;1,000000;200,000000;1636,800000
0,005000;0,700000;10;TRUE;280;1,000000;280,000000;2411,233333
0,005000;0,700000;20;TRUE;220;1,000000;220,000000;1890,666667
0,005000;0,700000;10;TRUE;300;1,000000;300,000000;2612,700000
0,005000;0,700000;20;TRUE;240;1,000000;240,000000;2161,233333
0,005000;0,700000;20;TRUE;260;1,000000;260,000000;2465,933333
0,005000;0,700000;20;TRUE;280;1,000000;280,000000;2593,500000
0,005000;0,700000;20;TRUE;300;1,000000;300,000000;2881,766667
