MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,000500;0,900000;10;TRUE;50;1,000000;50,000000;3305,200000
0,000500;0,900000;10;TRUE;100;1,000000;100,000000;4458,900000
0,000500;0,900000;10;TRUE;150;1,000000;150,000000;4906,800000
0,000500;0,900000;10;TRUE;200;1,000000;200,000000;5042,800000
0,000500;0,900000;10;TRUE;250;1,000000;250,000000;5621,500000
0,000500;0,900000;10;TRUE;350;1,000000;350,000000;6012,500000
0,000500;0,900000;10;TRUE;300;1,000000;300,000000;6639,100000
0,000500;0,900000;10;TRUE;400;1,000000;400,000000;6367,600000
0,000500;0,900000;10;TRUE;500;1,000000;500,000000;7361,400000
0,000500;0,900000;10;TRUE;450;1,000000;450,000000;8248,300000
0,000500;0,900000;10;TRUE;550;1,000000;550,000000;7590,600000
0,000500;0,900000;10;TRUE;600;1,000000;600,000000;8505,800000
0,000500;0,900000;10;TRUE;650;1,000000;650,000000;8935,900000
0,000500;0,900000;10;TRUE;700;1,000000;700,000000;8585,400000
0,000500;0,900000;10;TRUE;750;1,000000;750,000000;8867,100000
0,000500;0,900000;10;TRUE;800;1,000000;800,000000;9777,800000
0,000500;0,900000;10;TRUE;900;1,000000;900,000000;9701,900000
0,000500;0,900000;10;TRUE;850;1,000000;850,000000;10279,600000
0,000500;0,900000;10;TRUE;950;1,000000;950,000000;9640,500000
0,000500;0,900000;10;TRUE;1000;1,000000;1000,000000;10906,200000
