MUTATION_PROB;CROSSOVER_PROB;POPULATION_SIZE;IS_CROSSOVER_POINT_RANDOM;CHROMOSOME_LENGTH;SR;AVG_END_FIT;AVG_SOLUTION_FOUND
0,005000;0,700000;40;TRUE;300;1,000000;300,000000;3289,500000
0,005000;0,700000;40;TRUE;310;1,000000;310,000000;3569,700000
0,005000;0,700000;60;TRUE;300;1,000000;300,000000;4056,500000
0,005000;0,700000;60;TRUE;310;1,000000;310,000000;4647,300000
0,005000;0,700000;80;TRUE;300;1,000000;300,000000;4609,800000
0,005000;0,700000;80;TRUE;310;1,000000;310,000000;4661,500000
0,005000;0,700000;100;TRUE;310;1,000000;310,000000;5036,400000
0,005000;0,700000;100;TRUE;300;1,000000;300,000000;5495,400000
